WMO;DAC;COUNTRY;LAUNCH_DATE;PROGRAM;COUNTRY_CODE
3902129;coriolis;European Union;2018/02/04;AtlantOS_H2020;EUR
3902121;coriolis;European Union;2018/03/16;AtlantOS_H2020;EUR
3902123;coriolis;European Union;2017/10/09;AtlantOS_H2020;EUR
3902126;coriolis;European Union;2018/04/10;AtlantOS_H2020;EUR
3902131;coriolis;European Union;2018/03/13;AtlantOS_H2020;EUR
3902128;coriolis;European Union;2018/03/21;AtlantOS_H2020;EUR
3902122;coriolis;European Union;2017/10/08;AtlantOS_H2020;EUR
3902130;coriolis;European Union;2018/03/24;AtlantOS_H2020;EUR
3902125;coriolis;European Union;2017/10/19;AtlantOS_H2020;EUR
3902127;coriolis;European Union;2018/08/25;AtlantOS_H2020;EUR
3902120;coriolis;European Union;2018/03/14;AtlantOS_H2020;EUR
3902124;coriolis;European Union;2017/10/18;AtlantOS_H2020;EUR
3902132;coriolis;European Union;2018/03/29;AtlantOS_H2020;EUR
6903877;coriolis;European Union;2021/04/03;EuroSea Argo;EUR
6903870;coriolis;European Union;2021/06/12;EuroSea Argo;EUR
1902621;coriolis;European Union;2023/06/27;EuroSea Argo;EUR
6903876;coriolis;European Union;2021/04/03;EuroSea Argo;EUR
6903875;coriolis;European Union;2021/03/12;EuroSea Argo;EUR
6903869;coriolis;European Union;2021/06/10;EuroSea Argo;EUR
6903871;coriolis;European Union;2021/06/18;EuroSea Argo;EUR
6903872;coriolis;European Union;2021/06/20;EuroSea Argo;EUR
6903873;coriolis;European Union;2021/06/21;EuroSea Argo;EUR
6903878;coriolis;European Union;2021/03/12;EuroSea Argo;EUR
6903874;coriolis;European Union;2021/03/28;EuroSea Argo;EUR
